date	ur	pi_gr	nyse_gr	tb_sqrt_diff	ics_log_diff	pce_gr_diff	perc_pos_rev_weighted	perc_neg_rev_weighted	perc_uncert_rev_weighted	perc_litig_rev_weighted	perc_modal_wk_rev_weighted	perc_modal_mod_rev_weighted	perc_constrain_rev_weighted	perc_modal_str_rev_weighted_diff
2016-04-01	5	-0.005421604	0.015499852	-0.058933328	-0.022223137	0.001224365	2.26198602	1.022019818	0.834361355	0.10846464	0.358777662	0.611354609	0.063446555	0.024054543
2016-05-01	4.7	0.000753221	0.000390928	0.04003209	0.06207763	0.003142372	2.175145941	1.03617804	0.819223426	0.105486409	0.353297296	0.574095068	0.068791836	0.014746819
2016-06-01	4.9	0.001576313	0.004670029	0	-0.012752564	0.001904468	2.244325667	1.031932456	0.82358395	0.121188018	0.33091171	0.581187888	0.075793689	-0.004238826
2016-07-01	4.9	1.13E-05	0.024378576	0.028107315	-0.038151766	-0.008581289	2.257586261	0.971161171	0.813378198	0.078427892	0.308733452	0.549892641	0.097897585	0.024058231
2016-08-01	4.9	0.002549723	-0.001924783	0	-0.002224695	0.006583346	2.301573714	0.940454337	0.816669188	0.068048603	0.315189905	0.564456819	0.103330175	-0.026906327
2016-09-01	5	0.004121315	-0.003995427	-0.009206077	0.015469922	0.000762434	2.335962206	0.90407635	0.813293234	0.064889711	0.325976945	0.556900868	0.09900952	0.02175284
2016-10-01	4.9	-0.000521126	-0.027390551	0.035939784	-0.044850566	-0.006778438	2.284018705	0.916735136	0.849570407	0.102262564	0.342175826	0.588148933	0.082284264	-0.033071671
2016-11-01	4.6	0.003149639	0.03401775	0.096364129	0.072960525	0.00475492	2.293942233	0.919556426	0.878142685	0.11150444	0.369365682	0.584632614	0.075509889	-0.031571865
2016-12-01	4.7	0.003822001	0.020154194	0.04332245	0.045841359	0.002049219	2.330129534	0.916931207	0.869553476	0.112152525	0.352776778	0.553345259	0.083132213	0.015244761
2017-01-01	4.8	0.003002129	0.009767317	0	0.003050333	-0.005778493	2.137728633	0.980940395	0.856793482	0.126556183	0.33327351	0.588449465	0.086554722	0.026831333
2017-02-01	4.7	0.004773828	0.025789069	0.006967412	-0.022588229	-0.00014355	2.124255373	0.988778822	0.855457483	0.11848574	0.336356586	0.576232576	0.081400886	0.029227705
2017-03-01	4.5	0.003224481	-0.001697305	0.139122272	0.0062112	0.006831423	2.19150196	1.014298076	0.85817139	0.124968098	0.340198444	0.551596577	0.084271876	-0.013306403
2017-04-01	4.4	-0.002045756	0.000914898	0.034194664	0.00103146	-0.005195199	2.038902277	1.023285102	0.80468009	0.124595613	0.335364678	0.556831512	0.078452273	-0.060487794
